area,mw,status,publication_date,remarks
SE4,560.0,Unknown,2025-10-31T08:41:40Z,SE4->DK2 capacity may vary between 0 and 560 MW
DK2,560.0,Unknown,2025-10-31T08:41:40Z,SE4->DK2 capacity may vary between 0 and 560 MW
SE4,560.0,Unknown,2025-10-31T08:37:48Z,SE4->DK2 capacity may vary between 0 and 560 MW
DK2,560.0,Unknown,2025-10-31T08:37:48Z,SE4->DK2 capacity may vary between 0 and 560 MW
NO5,55.0,Unplanned,2025-10-30T13:13:16.847056Z,System errors when bidding day-ahead for the 31st has made Entelios place faulty spotbids in NO5. The total surplus purchased is 55 MW the whole day
NO4,71.0,Unplanned,2025-10-30T13:13:03.372846Z,System errors when bidding day-ahead for the 31st has made Entelios place faulty spotbids in NO4. The total surplus purchased is 71 MW the whole day
NO3,76.0,Unplanned,2025-10-30T13:12:55.521718Z,"System errors when bidding day-ahead for the 31st has made Entelios place faulty spotbids in NO3. The total surplus purchased is 40 MW the first 4 hours, 76 MW until PH 20 and then back to 40 MW for the rest of the day."
NO2,66.0,Unplanned,2025-10-30T13:12:44.026001Z,"System errors when bidding day-ahead for the 31st has made Entelios place faulty spotbids in NO2. The total surplus purchased is 33 MW the first 6 hours, 66 MW until PH 21 and then back to 33 MW for the rest of the day."
SE4,216.0,Unknown,2025-10-29T14:40:00.93321Z,"Due to system security concerns, the transmission capacity (NTC) of Baltic Cable (DE-SE4) will be limited to 204 MW N / 216 MW S until further notice; Tempory outage of equipment."
SE4,216.0,Unknown,2025-10-29T14:36:25.407087Z,"Due to system security concerns, the transmission capacity (NTC) of Baltic Cable (DE-SE4) will be limited to 204 MW N / 216 MW S until further notice; Tempory outage of equipment."
SE4,560.0,Unknown,2025-10-29T13:49:39Z,SE4->DK2 capacity may vary between 0 and 560 MW
DK2,560.0,Unknown,2025-10-29T13:49:39Z,SE4->DK2 capacity may vary between 0 and 560 MW
SE1,1900.0,Unknown,2025-10-28T15:33:19Z,"The maximum allowed border capacity for SE1->FI and FI->SE1 is 1900 MW after commissioning of third interconnector Messaure-Viitajärvi (Aurora Line project). The capacity will vary depending on network element limitations. The limitations are affected by border flows, ambient temperature and production mix. The topology of the series compensation on the three interconnectors between SE1 and FI will also affect the available capacity to the market. The actual allocated capacity will be decided by the flow-based domain for each particular market time unit."
SE1,1900.0,Unknown,2025-10-28T15:33:19Z,"The maximum allowed border capacity for SE1->FI and FI->SE1 is 1900 MW after commissioning of third interconnector Messaure-Viitajärvi (Aurora Line project). The capacity will vary depending on network element limitations. The limitations are affected by border flows, ambient temperature and production mix. The topology of the series compensation on the three interconnectors between SE1 and FI will also affect the available capacity to the market. The actual allocated capacity will be decided by the flow-based domain for each particular market time unit."
SE1,1900.0,Unknown,2025-10-28T15:33:19Z,"The maximum allowed border capacity for SE1->FI and FI->SE1 is 1900 MW after commissioning of third interconnector Messaure-Viitajärvi (Aurora Line project). The capacity will vary depending on network element limitations. The limitations are affected by border flows, ambient temperature and production mix. The topology of the series compensation on the three interconnectors between SE1 and FI will also affect the available capacity to the market. The actual allocated capacity will be decided by the flow-based domain for each particular market time unit."
SE1,1900.0,Unknown,2025-10-28T14:39:11Z,"The maximum allowed border capacity for SE1->FI and FI->SE1 is 1900 MW after commissioning of third interconnector Messaure-Viitajärvi (Aurora Line project). The capacity will vary depending on network element limitations. The limitations are affected by border flows, ambient temperature and production mix. The topology of the series compensation on the three interconnectors between SE1 and FI will also affect the available capacity to the market. The actual allocated capacity will be decided by the flow-based domain for each particular market time unit."
