area,year,outage_type,planned_status,count
AD2,2023,Transmission outage,Planned,0
AD2,2023,Transmission outage,Unplanned,0
AD2,2023,Production unavailability,Planned,0
AD2,2023,Production unavailability,Unplanned,0
AD2,2023,Consumption unavailability,Planned,0
AD2,2023,Consumption unavailability,Unplanned,0
AD2,2024,Transmission outage,Planned,0
AD2,2024,Transmission outage,Unplanned,0
AD2,2024,Production unavailability,Planned,0
AD2,2024,Production unavailability,Unplanned,0
AD2,2024,Consumption unavailability,Planned,0
AD2,2024,Consumption unavailability,Unplanned,0
AD2,2025,Transmission outage,Planned,0
AD2,2025,Transmission outage,Unplanned,0
AD2,2025,Production unavailability,Planned,0
AD2,2025,Production unavailability,Unplanned,0
AD2,2025,Consumption unavailability,Planned,0
AD2,2025,Consumption unavailability,Unplanned,0
AD3,2025,Transmission outage,Planned,0
AD3,2025,Transmission outage,Unplanned,0
AD3,2025,Production unavailability,Planned,0
AD3,2025,Production unavailability,Unplanned,0
AD3,2025,Consumption unavailability,Planned,0
AD3,2025,Consumption unavailability,Unplanned,0
AL1,2021,Transmission outage,Planned,0
AL1,2021,Transmission outage,Unplanned,0
AL1,2021,Production unavailability,Planned,0
AL1,2021,Production unavailability,Unplanned,0
AL1,2021,Consumption unavailability,Planned,0
AL1,2021,Consumption unavailability,Unplanned,0
AL2,2013,Transmission outage,Planned,0
AL2,2013,Transmission outage,Unplanned,0
AL2,2013,Production unavailability,Planned,0
AL2,2013,Production unavailability,Unplanned,0
AL2,2013,Consumption unavailability,Planned,0
AL2,2013,Consumption unavailability,Unplanned,0
AL2,2021,Transmission outage,Planned,0
AL2,2021,Transmission outage,Unplanned,0
AL2,2021,Production unavailability,Planned,0
AL2,2021,Production unavailability,Unplanned,0
AL2,2021,Consumption unavailability,Planned,0
AL2,2021,Consumption unavailability,Unplanned,0
AL2,2022,Transmission outage,Planned,0
AL2,2022,Transmission outage,Unplanned,0
AL2,2022,Production unavailability,Planned,0
AL2,2022,Production unavailability,Unplanned,1
AL2,2022,Consumption unavailability,Planned,0
AL2,2022,Consumption unavailability,Unplanned,0
AL3,2021,Transmission outage,Planned,0
AL3,2021,Transmission outage,Unplanned,0
AL3,2021,Production unavailability,Planned,0
AL3,2021,Production unavailability,Unplanned,0
AL3,2021,Consumption unavailability,Planned,0
AL3,2021,Consumption unavailability,Unplanned,0
AL7,2017,Transmission outage,Planned,0
AL7,2017,Transmission outage,Unplanned,0
AL7,2017,Production unavailability,Planned,0
AL7,2017,Production unavailability,Unplanned,0
AL7,2017,Consumption unavailability,Planned,0
AL7,2017,Consumption unavailability,Unplanned,0
AN2,2016,Transmission outage,Planned,0
AN2,2016,Transmission outage,Unplanned,0
AN2,2016,Production unavailability,Planned,2
AN2,2016,Production unavailability,Unplanned,0
AN2,2016,Consumption unavailability,Planned,0
AN2,2016,Consumption unavailability,Unplanned,0
AN5,2014,Transmission outage,Planned,0
AN5,2014,Transmission outage,Unplanned,0
AN5,2014,Production unavailability,Planned,1
AN5,2014,Production unavailability,Unplanned,0
AN5,2014,Consumption unavailability,Planned,0
AN5,2014,Consumption unavailability,Unplanned,0
AT1,2025,Transmission outage,Planned,0
AT1,2025,Transmission outage,Unplanned,0
AT1,2025,Production unavailability,Planned,0
AT1,2025,Production unavailability,Unplanned,0
AT1,2025,Consumption unavailability,Planned,0
AT1,2025,Consumption unavailability,Unplanned,0
AT2,2025,Transmission outage,Planned,0
AT2,2025,Transmission outage,Unplanned,0
AT2,2025,Production unavailability,Planned,0
AT2,2025,Production unavailability,Unplanned,0
AT2,2025,Consumption unavailability,Planned,0
AT2,2025,Consumption unavailability,Unplanned,0
AT4,2025,Transmission outage,Planned,0
AT4,2025,Transmission outage,Unplanned,0
AT4,2025,Production unavailability,Planned,0
AT4,2025,Production unavailability,Unplanned,0
AT4,2025,Consumption unavailability,Planned,0
AT4,2025,Consumption unavailability,Unplanned,0
BP2,2019,Transmission outage,Planned,2
BP2,2019,Transmission outage,Unplanned,0
BP2,2019,Production unavailability,Planned,0
BP2,2019,Production unavailability,Unplanned,0
BP2,2019,Consumption unavailability,Planned,0
BP2,2019,Consumption unavailability,Unplanned,0
CG8,2024,Transmission outage,Planned,0
CG8,2024,Transmission outage,Unplanned,0
CG8,2024,Production unavailability,Planned,0
CG8,2024,Production unavailability,Unplanned,0
CG8,2024,Consumption unavailability,Planned,0
CG8,2024,Consumption unavailability,Unplanned,0
CO2,2023,Transmission outage,Planned,0
CO2,2023,Transmission outage,Unplanned,0
CO2,2023,Production unavailability,Planned,0
