area,outage_type,count,planned_status,status_count
SE4,Consumption unavailability,83,Unknown,28
SE3,Consumption unavailability,206,Planned,63
NO1,Consumption unavailability,88,Planned,40
NO5,Production unavailability,20,Unknown,8
NO3,Consumption unavailability,23,Planned,12
SE1,Consumption unavailability,22,Planned,12
IS3,Consumption unavailability,4,Unknown,2
IS2,Consumption unavailability,3,Unknown,2
PB7,Consumption unavailability,3,Unknown,2
PB8,Consumption unavailability,2,Unknown,2
MP2,Consumption unavailability,1,Planned,1
SE2,Consumption unavailability,55,Unknown,25
DK1,Consumption unavailability,66,Planned,32
DK2,Consumption unavailability,25,Planned,13
GP3,Production unavailability,1,Unplanned,1
GP4,Production unavailability,1,Unplanned,1
OL3,Consumption unavailability,1,Planned,1
TA1,Consumption unavailability,2,Unknown,2
NO2,Consumption unavailability,84,Planned,38
AL2,Production unavailability,2,Unplanned,1
SK4,Production unavailability,29,Unknown,17
TA2,Consumption unavailability,1,Unknown,1
TA3,Consumption unavailability,1,Unknown,1
NO4,Consumption unavailability,25,Planned,14
GT1,Production unavailability,2,Unplanned,2
TH1,Consumption unavailability,1,Unknown,1
TH4,Consumption unavailability,1,Unknown,1
SK2,Production unavailability,31,Unknown,19
SK1,Production unavailability,31,Unknown,19
SF6,Consumption unavailability,8,Planned,8
KS2,Production unavailability,4,Unplanned,3
FT1,Consumption unavailability,2,Planned,2
BP2,Consumption unavailability,2,Planned,2
HP1,Consumption unavailability,2,Planned,2
HP2,Consumption unavailability,2,Planned,2
KS1,Production unavailability,6,Unplanned,5
GT2,Production unavailability,1,Unplanned,1
TN2,Consumption unavailability,4,Planned,4
TN4,Consumption unavailability,2,Planned,2
TN3,Consumption unavailability,4,Planned,4
GT3,Production unavailability,1,Unplanned,1
TN5,Consumption unavailability,7,Planned,7
TN6,Consumption unavailability,1,Planned,1
LO1,Consumption unavailability,1,Planned,1
AN2,Consumption unavailability,2,Planned,2
TN1,Consumption unavailability,5,Planned,5
FO3,Production unavailability,1,Unplanned,1
GR2,Consumption unavailability,1,Planned,1
HR2,Production unavailability,2,Unknown,1
NA1,Consumption unavailability,1,Planned,1
KT5,Production unavailability,1,Unknown,1
PT4,Production unavailability,1,Unplanned,1
SK3,Consumption unavailability,24,Planned,21
TE5,Production unavailability,1,Unknown,1
KT4,Production unavailability,1,Unknown,1
AN5,Consumption unavailability,1,Planned,1
EK5,Consumption unavailability,2,Planned,2
EK3,Consumption unavailability,1,Planned,1
IN1,Production unavailability,2,Unknown,2
IN3,Production unavailability,2,Unknown,2
IN2,Production unavailability,2,Unknown,2
