area,total_outages
AD2,4
AD3,2
AL1,1
AL2,3
AL3,1
AL7,1
AN2,2
AN5,1
AT1,1
AT2,1
AT4,1
BP2,2
CG8,2
CO2,1
DK1,349
DK2,177
DS3,1
EK3,1
EK5,3
EL1,1
FG2,1
FO3,1
FT1,2
GI4,2
GP3,3
GP4,3
GR2,1
GT1,4
GT2,3
GT3,2
GT6,2
GT7,4
GT8,2
HP1,2
HP2,2
HP6,1
HR2,1
IH1,2
IK2,3
IN1,2
IN2,2
IN3,2
IR2,1
IS2,3
IS3,3
KS1,10
KS2,9
KT4,3
KT5,4
LO1,1
MI1,1
MI2,1
MP1,4
MP2,5
MP3,15
MP5,1
NA1,1
NO1,241
NO2,382
NO3,102
NO4,73
NO5,105
OL2,3
OL3,88
PB5,1
PB6,2
PB7,2
PB8,4
PH1,9
PH3,2
PH6,2
PH7,3
PH8,3
PH9,1
PM2,2
PM5,2
PT1,1
PT4,3
RP1,6
RP2,6
SE1,94
SE2,191
SE3,470
SE4,1188
SF6,14
SH1,1
SK1,52
SK2,46
SK3,42
SK4,44
SQ1,1
TA1,2
TA2,1
TA3,1
TE5,1
TH1,9
TH2,4
TH3,2
TH4,2
TN1,5
TN2,5
TN3,4
TN4,2
TN5,7
TN6,1
TR3,1
