area,outage_type,count
SE4,Consumption unavailability,83
SE3,Consumption unavailability,206
NO1,Consumption unavailability,88
NO5,Production unavailability,20
NO3,Consumption unavailability,23
SE1,Consumption unavailability,22
IS3,Consumption unavailability,4
IS2,Consumption unavailability,3
PB7,Consumption unavailability,3
PB8,Consumption unavailability,2
MP2,Consumption unavailability,1
SE2,Consumption unavailability,55
DK1,Consumption unavailability,66
DK2,Consumption unavailability,25
GP3,Production unavailability,1
GP4,Production unavailability,1
OL3,Consumption unavailability,1
TA1,Consumption unavailability,2
NO2,Consumption unavailability,84
AL2,Production unavailability,2
SK4,Production unavailability,29
TA2,Consumption unavailability,1
TA3,Consumption unavailability,1
NO4,Consumption unavailability,25
GT1,Production unavailability,2
TH1,Consumption unavailability,1
TH4,Consumption unavailability,1
SK2,Production unavailability,31
SK1,Production unavailability,31
SF6,Consumption unavailability,8
KS2,Production unavailability,4
FT1,Consumption unavailability,2
BP2,Consumption unavailability,2
HP1,Consumption unavailability,2
HP2,Consumption unavailability,2
KS1,Production unavailability,6
GT2,Production unavailability,1
TN2,Consumption unavailability,4
TN4,Consumption unavailability,2
TN3,Consumption unavailability,4
GT3,Production unavailability,1
TN5,Consumption unavailability,7
TN6,Consumption unavailability,1
LO1,Consumption unavailability,1
AN2,Consumption unavailability,2
TN1,Consumption unavailability,5
FO3,Production unavailability,1
GR2,Consumption unavailability,1
HR2,Production unavailability,2
NA1,Consumption unavailability,1
KT5,Production unavailability,1
PT4,Production unavailability,1
SK3,Consumption unavailability,24
TE5,Production unavailability,1
KT4,Production unavailability,1
AN5,Consumption unavailability,1
EK5,Consumption unavailability,2
EK3,Consumption unavailability,1
IN1,Production unavailability,2
IN3,Production unavailability,2
IN2,Production unavailability,2
