interval,lower,upper,timestamp
1,,,2025-09-23 12:00:00+00:00
2,,,2025-09-23 12:00:00+00:00
3,,,2025-09-23 12:00:00+00:00
4,70.98,71.92,2025-09-23 12:00:00+00:00
5,,,2025-09-23 12:00:00+00:00
1,,,2025-09-24 12:00:00+00:00
2,,,2025-09-24 12:00:00+00:00
3,65.04,72.72,2025-09-24 12:00:00+00:00
4,,,2025-09-24 12:00:00+00:00
5,,,2025-09-24 12:00:00+00:00
1,,,2025-09-25 12:00:00+00:00
2,,,2025-09-25 12:00:00+00:00
3,,,2025-09-25 12:00:00+00:00
4,,,2025-09-25 12:00:00+00:00
5,,,2025-09-25 12:00:00+00:00
1,,,2025-09-26 12:00:00+00:00
2,,,2025-09-26 12:00:00+00:00
3,,,2025-09-26 12:00:00+00:00
4,,,2025-09-26 12:00:00+00:00
5,,,2025-09-26 12:00:00+00:00
1,,,2025-09-27 12:00:00+00:00
2,,,2025-09-27 12:00:00+00:00
3,,,2025-09-27 12:00:00+00:00
4,,,2025-09-27 12:00:00+00:00
5,,,2025-09-27 12:00:00+00:00
1,,,2025-09-28 12:00:00+00:00
2,,,2025-09-28 12:00:00+00:00
3,,,2025-09-28 12:00:00+00:00
4,,,2025-09-28 12:00:00+00:00
5,,,2025-09-28 12:00:00+00:00
1,,,2025-09-29 12:00:00+00:00
2,,,2025-09-29 12:00:00+00:00
3,,,2025-09-29 12:00:00+00:00
4,,,2025-09-29 12:00:00+00:00
5,,,2025-09-29 12:00:00+00:00
1,,,2025-09-30 12:00:00+00:00
2,,,2025-09-30 12:00:00+00:00
3,,,2025-09-30 12:00:00+00:00
4,,,2025-09-30 12:00:00+00:00
5,,,2025-09-30 12:00:00+00:00
1,,,2025-10-01 12:00:00+00:00
2,,,2025-10-01 12:00:00+00:00
3,,,2025-10-01 12:00:00+00:00
4,,,2025-10-01 12:00:00+00:00
5,,,2025-10-01 12:00:00+00:00
1,,,2025-10-02 12:00:00+00:00
2,,,2025-10-02 12:00:00+00:00
3,54.53,64.94,2025-10-02 12:00:00+00:00
4,,,2025-10-02 12:00:00+00:00
5,,,2025-10-02 12:00:00+00:00
1,,,2025-10-03 12:00:00+00:00
2,,,2025-10-03 12:00:00+00:00
3,,,2025-10-03 12:00:00+00:00
4,,,2025-10-03 12:00:00+00:00
5,,,2025-10-03 12:00:00+00:00
1,,,2025-10-04 12:00:00+00:00
2,,,2025-10-04 12:00:00+00:00
3,,,2025-10-04 12:00:00+00:00
4,,,2025-10-04 12:00:00+00:00
5,,,2025-10-04 12:00:00+00:00
1,,,2025-10-05 12:00:00+00:00
2,,,2025-10-05 12:00:00+00:00
3,,,2025-10-05 12:00:00+00:00
4,,,2025-10-05 12:00:00+00:00
5,,,2025-10-05 12:00:00+00:00
1,,,2025-10-06 12:00:00+00:00
2,,,2025-10-06 12:00:00+00:00
3,8.07,67.39,2025-10-06 12:00:00+00:00
4,,,2025-10-06 12:00:00+00:00
5,,,2025-10-06 12:00:00+00:00
1,,,2025-10-07 12:00:00+00:00
2,,,2025-10-07 12:00:00+00:00
3,,,2025-10-07 12:00:00+00:00
4,,,2025-10-07 12:00:00+00:00
5,,,2025-10-07 12:00:00+00:00
1,,,2025-10-08 12:00:00+00:00
2,,,2025-10-08 12:00:00+00:00
3,,,2025-10-08 12:00:00+00:00
4,,,2025-10-08 12:00:00+00:00
5,,,2025-10-08 12:00:00+00:00
1,,,2025-10-09 12:00:00+00:00
2,,,2025-10-09 12:00:00+00:00
3,,,2025-10-09 12:00:00+00:00
4,,,2025-10-09 12:00:00+00:00
5,,,2025-10-09 12:00:00+00:00
1,,,2025-10-10 12:00:00+00:00
2,,,2025-10-10 12:00:00+00:00
3,,,2025-10-10 12:00:00+00:00
