interval,lower,upper,timestamp
1,,,2024-11-10 12:00:00+00:00
2,,,2024-11-10 12:00:00+00:00
3,,,2024-11-10 12:00:00+00:00
4,,,2024-11-10 12:00:00+00:00
5,,,2024-11-10 12:00:00+00:00
1,,,2024-11-16 12:00:00+00:00
2,,,2024-11-16 12:00:00+00:00
3,,,2024-11-16 12:00:00+00:00
4,,,2024-11-16 12:00:00+00:00
5,,,2024-11-16 12:00:00+00:00
1,,,2024-11-22 12:00:00+00:00
2,,,2024-11-22 12:00:00+00:00
3,,,2024-11-22 12:00:00+00:00
4,,,2024-11-22 12:00:00+00:00
5,,,2024-11-22 12:00:00+00:00
1,,,2024-11-28 12:00:00+00:00
2,,,2024-11-28 12:00:00+00:00
3,,,2024-11-28 12:00:00+00:00
4,,,2024-11-28 12:00:00+00:00
5,,,2024-11-28 12:00:00+00:00
1,,,2024-12-04 12:00:00+00:00
2,,,2024-12-04 12:00:00+00:00
3,,,2024-12-04 12:00:00+00:00
4,,,2024-12-04 12:00:00+00:00
5,,,2024-12-04 12:00:00+00:00
1,,,2024-12-11 12:00:00+00:00
2,,,2024-12-11 12:00:00+00:00
3,,,2024-12-11 12:00:00+00:00
4,,,2024-12-11 12:00:00+00:00
5,,,2024-12-11 12:00:00+00:00
1,,,2024-12-17 12:00:00+00:00
2,,,2024-12-17 12:00:00+00:00
3,,,2024-12-17 12:00:00+00:00
4,,,2024-12-17 12:00:00+00:00
5,,,2024-12-17 12:00:00+00:00
1,,,2024-12-23 12:00:00+00:00
2,,,2024-12-23 12:00:00+00:00
3,,,2024-12-23 12:00:00+00:00
4,,,2024-12-23 12:00:00+00:00
5,,,2024-12-23 12:00:00+00:00
1,,,2024-12-29 12:00:00+00:00
2,,,2024-12-29 12:00:00+00:00
3,,,2024-12-29 12:00:00+00:00
4,,,2024-12-29 12:00:00+00:00
5,,,2024-12-29 12:00:00+00:00
1,,,2025-01-04 12:00:00+00:00
2,,,2025-01-04 12:00:00+00:00
3,,,2025-01-04 12:00:00+00:00
4,,,2025-01-04 12:00:00+00:00
5,,,2025-01-04 12:00:00+00:00
1,,,2025-01-11 12:00:00+00:00
2,,,2025-01-11 12:00:00+00:00
3,,,2025-01-11 12:00:00+00:00
4,,,2025-01-11 12:00:00+00:00
5,,,2025-01-11 12:00:00+00:00
1,,,2025-01-17 12:00:00+00:00
2,,,2025-01-17 12:00:00+00:00
3,,,2025-01-17 12:00:00+00:00
4,,,2025-01-17 12:00:00+00:00
5,,,2025-01-17 12:00:00+00:00
1,,,2025-01-23 12:00:00+00:00
2,,,2025-01-23 12:00:00+00:00
3,,,2025-01-23 12:00:00+00:00
4,,,2025-01-23 12:00:00+00:00
5,,,2025-01-23 12:00:00+00:00
1,,,2025-01-29 12:00:00+00:00
2,,,2025-01-29 12:00:00+00:00
3,,,2025-01-29 12:00:00+00:00
4,,,2025-01-29 12:00:00+00:00
5,,,2025-01-29 12:00:00+00:00
1,,,2025-02-04 12:00:00+00:00
2,,,2025-02-04 12:00:00+00:00
3,,,2025-02-04 12:00:00+00:00
4,,,2025-02-04 12:00:00+00:00
5,,,2025-02-04 12:00:00+00:00
1,,,2025-02-10 12:00:00+00:00
2,,,2025-02-10 12:00:00+00:00
3,,,2025-02-10 12:00:00+00:00
4,,,2025-02-10 12:00:00+00:00
5,,,2025-02-10 12:00:00+00:00
1,,,2025-02-17 12:00:00+00:00
2,,,2025-02-17 12:00:00+00:00
3,,,2025-02-17 12:00:00+00:00
4,,,2025-02-17 12:00:00+00:00
5,,,2025-02-17 12:00:00+00:00
1,,,2025-02-23 12:00:00+00:00
2,,,2025-02-23 12:00:00+00:00
3,,,2025-02-23 12:00:00+00:00
4,,,2025-02-23 12:00:00+00:00
5,,,2025-02-23 12:00:00+00:00
1,,,2025-03-01 12:00:00+00:00
2,,,2025-03-01 12:00:00+00:00
3,,,2025-03-01 12:00:00+00:00
4,,,2025-03-01 12:00:00+00:00
5,,,2025-03-01 12:00:00+00:00
1,,,2025-03-07 12:00:00+00:00
2,,,2025-03-07 12:00:00+00:00
3,,,2025-03-07 12:00:00+00:00
4,,,2025-03-07 12:00:00+00:00
5,,,2025-03-07 12:00:00+00:00
1,,,2025-03-13 12:00:00+00:00
2,,,2025-03-13 12:00:00+00:00
3,,,2025-03-13 12:00:00+00:00
4,,,2025-03-13 12:00:00+00:00
5,,,2025-03-13 12:00:00+00:00
1,,,2025-03-20 12:00:00+00:00
2,,,2025-03-20 12:00:00+00:00
3,,,2025-03-20 12:00:00+00:00
4,,,2025-03-20 12:00:00+00:00
5,,,2025-03-20 12:00:00+00:00
1,,,2025-03-26 12:00:00+00:00
2,,,2025-03-26 12:00:00+00:00
3,,,2025-03-26 12:00:00+00:00
4,,,2025-03-26 12:00:00+00:00
5,,,2025-03-26 12:00:00+00:00
1,,,2025-04-01 12:00:00+00:00
2,,,2025-04-01 12:00:00+00:00
3,,,2025-04-01 12:00:00+00:00
4,,,2025-04-01 12:00:00+00:00
5,,,2025-04-01 12:00:00+00:00
1,,,2025-04-07 12:00:00+00:00
2,,,2025-04-07 12:00:00+00:00
3,,,2025-04-07 12:00:00+00:00
4,,,2025-04-07 12:00:00+00:00
5,,,2025-04-07 12:00:00+00:00
1,,,2025-04-13 12:00:00+00:00
2,,,2025-04-13 12:00:00+00:00
3,,,2025-04-13 12:00:00+00:00
4,,,2025-04-13 12:00:00+00:00
5,,,2025-04-13 12:00:00+00:00
1,,,2025-04-20 12:00:00+00:00
2,,,2025-04-20 12:00:00+00:00
3,,,2025-04-20 12:00:00+00:00
4,,,2025-04-20 12:00:00+00:00
5,,,2025-04-20 12:00:00+00:00
1,,,2025-04-26 12:00:00+00:00
2,,,2025-04-26 12:00:00+00:00
3,,,2025-04-26 12:00:00+00:00
4,,,2025-04-26 12:00:00+00:00
5,,,2025-04-26 12:00:00+00:00
1,,,2025-05-02 12:00:00+00:00
2,,,2025-05-02 12:00:00+00:00
3,,,2025-05-02 12:00:00+00:00
4,,,2025-05-02 12:00:00+00:00
5,,,2025-05-02 12:00:00+00:00
1,,,2025-05-08 12:00:00+00:00
2,,,2025-05-08 12:00:00+00:00
3,,,2025-05-08 12:00:00+00:00
4,,,2025-05-08 12:00:00+00:00
5,,,2025-05-08 12:00:00+00:00
1,,,2025-05-14 12:00:00+00:00
2,,,2025-05-14 12:00:00+00:00
3,,,2025-05-14 12:00:00+00:00
4,,,2025-05-14 12:00:00+00:00
5,,,2025-05-14 12:00:00+00:00
1,,,2025-05-20 12:00:00+00:00
2,,,2025-05-20 12:00:00+00:00
3,,,2025-05-20 12:00:00+00:00
4,,,2025-05-20 12:00:00+00:00
5,,,2025-05-20 12:00:00+00:00
1,,,2025-05-27 12:00:00+00:00
2,,,2025-05-27 12:00:00+00:00
3,,,2025-05-27 12:00:00+00:00
4,,,2025-05-27 12:00:00+00:00
5,,,2025-05-27 12:00:00+00:00
1,,,2025-06-02 12:00:00+00:00
2,,,2025-06-02 12:00:00+00:00
3,,,2025-06-02 12:00:00+00:00
4,,,2025-06-02 12:00:00+00:00
5,,,2025-06-02 12:00:00+00:00
1,,,2025-06-08 12:00:00+00:00
2,,,2025-06-08 12:00:00+00:00
3,,,2025-06-08 12:00:00+00:00
4,,,2025-06-08 12:00:00+00:00
5,,,2025-06-08 12:00:00+00:00
1,,,2025-06-14 12:00:00+00:00
2,,,2025-06-14 12:00:00+00:00
3,,,2025-06-14 12:00:00+00:00
4,,,2025-06-14 12:00:00+00:00
5,,,2025-06-14 12:00:00+00:00
1,,,2025-06-20 12:00:00+00:00
2,,,2025-06-20 12:00:00+00:00
3,,,2025-06-20 12:00:00+00:00
4,,,2025-06-20 12:00:00+00:00
5,,,2025-06-20 12:00:00+00:00
1,,,2025-06-27 12:00:00+00:00
2,,,2025-06-27 12:00:00+00:00
3,,,2025-06-27 12:00:00+00:00
4,,,2025-06-27 12:00:00+00:00
5,,,2025-06-27 12:00:00+00:00
1,,,2025-07-03 12:00:00+00:00
2,,,2025-07-03 12:00:00+00:00
3,,,2025-07-03 12:00:00+00:00
4,,,2025-07-03 12:00:00+00:00
5,,,2025-07-03 12:00:00+00:00
1,,,2025-07-09 12:00:00+00:00
2,,,2025-07-09 12:00:00+00:00
3,,,2025-07-09 12:00:00+00:00
4,,,2025-07-09 12:00:00+00:00
5,,,2025-07-09 12:00:00+00:00
1,,,2025-07-15 12:00:00+00:00
2,,,2025-07-15 12:00:00+00:00
3,,,2025-07-15 12:00:00+00:00
4,,,2025-07-15 12:00:00+00:00
5,,,2025-07-15 12:00:00+00:00
1,,,2025-07-21 12:00:00+00:00
2,,,2025-07-21 12:00:00+00:00
3,,,2025-07-21 12:00:00+00:00
4,,,2025-07-21 12:00:00+00:00
5,,,2025-07-21 12:00:00+00:00
1,,,2025-07-28 12:00:00+00:00
2,,,2025-07-28 12:00:00+00:00
3,,,2025-07-28 12:00:00+00:00
4,,,2025-07-28 12:00:00+00:00
5,,,2025-07-28 12:00:00+00:00
1,,,2025-08-03 12:00:00+00:00
2,,,2025-08-03 12:00:00+00:00
3,,,2025-08-03 12:00:00+00:00
4,,,2025-08-03 12:00:00+00:00
5,,,2025-08-03 12:00:00+00:00
1,,,2025-08-09 12:00:00+00:00
2,,,2025-08-09 12:00:00+00:00
3,,,2025-08-09 12:00:00+00:00
4,,,2025-08-09 12:00:00+00:00
5,,,2025-08-09 12:00:00+00:00
1,,,2025-08-15 12:00:00+00:00
2,,,2025-08-15 12:00:00+00:00
3,,,2025-08-15 12:00:00+00:00
4,,,2025-08-15 12:00:00+00:00
5,,,2025-08-15 12:00:00+00:00
1,,,2025-08-21 12:00:00+00:00
2,,,2025-08-21 12:00:00+00:00
3,,,2025-08-21 12:00:00+00:00
4,,,2025-08-21 12:00:00+00:00
5,,,2025-08-21 12:00:00+00:00
1,,,2025-08-27 12:00:00+00:00
2,,,2025-08-27 12:00:00+00:00
3,,,2025-08-27 12:00:00+00:00
4,,,2025-08-27 12:00:00+00:00
5,,,2025-08-27 12:00:00+00:00
1,,,2025-09-03 12:00:00+00:00
2,,,2025-09-03 12:00:00+00:00
3,,,2025-09-03 12:00:00+00:00
4,,,2025-09-03 12:00:00+00:00
5,,,2025-09-03 12:00:00+00:00
1,,,2025-09-09 12:00:00+00:00
2,,,2025-09-09 12:00:00+00:00
3,,,2025-09-09 12:00:00+00:00
4,,,2025-09-09 12:00:00+00:00
5,,,2025-09-09 12:00:00+00:00
1,,,2025-09-15 12:00:00+00:00
2,,,2025-09-15 12:00:00+00:00
3,,,2025-09-15 12:00:00+00:00
4,,,2025-09-15 12:00:00+00:00
5,,,2025-09-15 12:00:00+00:00
1,,,2025-09-21 12:00:00+00:00
2,,,2025-09-21 12:00:00+00:00
3,,,2025-09-21 12:00:00+00:00
4,,,2025-09-21 12:00:00+00:00
5,,,2025-09-21 12:00:00+00:00
1,,,2025-09-27 12:00:00+00:00
2,,,2025-09-27 12:00:00+00:00
3,,,2025-09-27 12:00:00+00:00
4,,,2025-09-27 12:00:00+00:00
5,,,2025-09-27 12:00:00+00:00
1,,,2025-10-04 12:00:00+00:00
2,,,2025-10-04 12:00:00+00:00
3,,,2025-10-04 12:00:00+00:00
4,,,2025-10-04 12:00:00+00:00
5,,,2025-10-04 12:00:00+00:00
1,,,2025-10-10 12:00:00+00:00
2,,,2025-10-10 12:00:00+00:00
3,,,2025-10-10 12:00:00+00:00
4,,,2025-10-10 12:00:00+00:00
5,,,2025-10-10 12:00:00+00:00
1,,,2025-10-16 12:00:00+00:00
2,,,2025-10-16 12:00:00+00:00
3,,,2025-10-16 12:00:00+00:00
4,,,2025-10-16 12:00:00+00:00
5,,,2025-10-16 12:00:00+00:00
1,,,2025-10-22 12:00:00+00:00
2,,,2025-10-22 12:00:00+00:00
3,,,2025-10-22 12:00:00+00:00
4,,,2025-10-22 12:00:00+00:00
5,,,2025-10-22 12:00:00+00:00
1,,,2025-10-28 12:00:00+00:00
2,,,2025-10-28 12:00:00+00:00
3,,,2025-10-28 12:00:00+00:00
4,,,2025-10-28 12:00:00+00:00
5,,,2025-10-28 12:00:00+00:00
1,,,2025-11-04 12:00:00+00:00
2,,,2025-11-04 12:00:00+00:00
3,,,2025-11-04 12:00:00+00:00
4,,,2025-11-04 12:00:00+00:00
5,,,2025-11-04 12:00:00+00:00
