interval,lower,upper,timestamp
1,40.73,40.73,2024-11-08 12:00:00+00:00
2,40.73,40.73,2024-11-08 12:00:00+00:00
3,45.17666666666667,45.17666666666667,2024-11-08 12:00:00+00:00
4,45.17666666666667,45.17666666666667,2024-11-08 12:00:00+00:00
5,,,2024-11-08 12:00:00+00:00
1,40.73,40.73,2024-11-12 12:00:00+00:00
2,40.73,40.73,2024-11-12 12:00:00+00:00
3,45.17666666666667,45.17666666666667,2024-11-12 12:00:00+00:00
4,45.17666666666667,45.17666666666667,2024-11-12 12:00:00+00:00
5,,,2024-11-12 12:00:00+00:00
1,32.913333333333334,32.913333333333334,2024-11-16 12:00:00+00:00
2,,,2024-11-16 12:00:00+00:00
3,,,2024-11-16 12:00:00+00:00
4,38.49,38.49,2024-11-16 12:00:00+00:00
5,,,2024-11-16 12:00:00+00:00
1,31.746666666666663,31.746666666666663,2024-11-20 12:00:00+00:00
2,,,2024-11-20 12:00:00+00:00
3,,,2024-11-20 12:00:00+00:00
4,38.49,38.49,2024-11-20 12:00:00+00:00
5,,,2024-11-20 12:00:00+00:00
1,15.616666666666667,15.616666666666667,2024-11-24 12:00:00+00:00
2,,,2024-11-24 12:00:00+00:00
3,,,2024-11-24 12:00:00+00:00
4,38.49,38.49,2024-11-24 12:00:00+00:00
5,,,2024-11-24 12:00:00+00:00
1,10.496666666666668,10.496666666666668,2024-11-28 12:00:00+00:00
2,41.13666666666666,41.13666666666666,2024-11-28 12:00:00+00:00
3,44.51,44.51,2024-11-28 12:00:00+00:00
4,44.51,44.51,2024-11-28 12:00:00+00:00
5,,,2024-11-28 12:00:00+00:00
1,10.496666666666668,10.496666666666668,2024-12-02 12:00:00+00:00
2,41.13666666666666,41.13666666666666,2024-12-02 12:00:00+00:00
3,41.13666666666666,41.13666666666666,2024-12-02 12:00:00+00:00
4,41.13666666666666,41.13666666666666,2024-12-02 12:00:00+00:00
5,,,2024-12-02 12:00:00+00:00
1,10.496666666666668,10.496666666666668,2024-12-06 12:00:00+00:00
2,,,2024-12-06 12:00:00+00:00
3,38.41,38.41,2024-12-06 12:00:00+00:00
4,38.41,38.41,2024-12-06 12:00:00+00:00
5,,,2024-12-06 12:00:00+00:00
1,10.496666666666668,10.496666666666668,2024-12-10 12:00:00+00:00
2,,,2024-12-10 12:00:00+00:00
3,38.41,38.41,2024-12-10 12:00:00+00:00
4,38.41,38.41,2024-12-10 12:00:00+00:00
5,,,2024-12-10 12:00:00+00:00
1,10.496666666666668,10.496666666666668,2024-12-14 12:00:00+00:00
2,,,2024-12-14 12:00:00+00:00
3,38.41,38.41,2024-12-14 12:00:00+00:00
4,38.41,38.41,2024-12-14 12:00:00+00:00
5,,,2024-12-14 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2024-12-18 12:00:00+00:00
2,,,2024-12-18 12:00:00+00:00
3,38.41,38.41,2024-12-18 12:00:00+00:00
4,38.41,38.41,2024-12-18 12:00:00+00:00
5,,,2024-12-18 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2024-12-22 12:00:00+00:00
2,,,2024-12-22 12:00:00+00:00
3,38.41,38.41,2024-12-22 12:00:00+00:00
4,38.41,38.41,2024-12-22 12:00:00+00:00
5,,,2024-12-22 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2024-12-26 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2024-12-26 12:00:00+00:00
3,30.73,30.73,2024-12-26 12:00:00+00:00
4,34.73666666666667,34.73666666666667,2024-12-26 12:00:00+00:00
5,,,2024-12-26 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2024-12-30 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2024-12-30 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2024-12-30 12:00:00+00:00
4,34.73666666666667,34.73666666666667,2024-12-30 12:00:00+00:00
5,,,2024-12-30 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-03 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-03 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-01-03 12:00:00+00:00
4,33.053333333333335,33.053333333333335,2025-01-03 12:00:00+00:00
5,,,2025-01-03 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-07 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-07 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-01-07 12:00:00+00:00
4,30.643333333333334,30.643333333333334,2025-01-07 12:00:00+00:00
5,,,2025-01-07 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-11 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-11 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-01-11 12:00:00+00:00
4,30.643333333333334,30.643333333333334,2025-01-11 12:00:00+00:00
5,,,2025-01-11 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-15 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-15 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-01-15 12:00:00+00:00
4,30.643333333333334,30.643333333333334,2025-01-15 12:00:00+00:00
5,,,2025-01-15 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-19 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-19 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-01-19 12:00:00+00:00
4,30.643333333333334,30.643333333333334,2025-01-19 12:00:00+00:00
5,,,2025-01-19 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-23 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-23 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-01-23 12:00:00+00:00
4,30.643333333333334,30.643333333333334,2025-01-23 12:00:00+00:00
5,,,2025-01-23 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-27 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-27 12:00:00+00:00
3,24.973333333333333,24.973333333333333,2025-01-27 12:00:00+00:00
4,24.973333333333333,24.973333333333333,2025-01-27 12:00:00+00:00
5,,,2025-01-27 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-01-31 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-01-31 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-01-31 12:00:00+00:00
4,30.643333333333334,30.643333333333334,2025-01-31 12:00:00+00:00
5,,,2025-01-31 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-02-04 12:00:00+00:00
2,22.633333333333336,22.633333333333336,2025-02-04 12:00:00+00:00
3,30.643333333333334,30.643333333333334,2025-02-04 12:00:00+00:00
4,30.643333333333334,30.643333333333334,2025-02-04 12:00:00+00:00
5,,,2025-02-04 12:00:00+00:00
1,0.3233333333333333,0.3233333333333333,2025-02-08 12:00:00+00:00
