country,eic,name,entity_id,entity_type,consumptionGroup,endTime,lastUpdatedTime,meteringPointCount,priceArea,quantityKwh,startTime
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T16:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,41191.336,2025-09-15T15:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T17:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,42481.21,2025-09-15T16:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T18:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,43342.4,2025-09-15T17:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T19:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,44086.668,2025-09-15T18:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T20:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,44747.156,2025-09-15T19:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T21:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,45409.008,2025-09-15T20:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T22:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,45382.387,2025-09-15T21:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-15T23:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,45050.88,2025-09-15T22:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T00:00:00+02:00,2025-09-29T18:20:41+02:00,110224,NO1,43975.965,2025-09-15T23:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T01:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,42889.723,2025-09-16T00:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T02:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,41900.26,2025-09-16T01:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T03:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,41762.348,2025-09-16T02:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T04:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,41571.316,2025-09-16T03:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T05:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,41326.84,2025-09-16T04:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T06:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,41441.824,2025-09-16T05:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T07:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,42003.812,2025-09-16T06:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T08:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,42330.406,2025-09-16T07:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T09:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,42733.508,2025-09-16T08:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T10:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,42535.453,2025-09-16T09:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T11:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,41408.89,2025-09-16T10:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T12:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,40134.438,2025-09-16T11:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T13:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,39015.72,2025-09-16T12:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T14:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,38515.875,2025-09-16T13:00:00+02:00
NO,10YNO-1--------2,NO1,NO1,price-areas,cabin,2025-09-16T15:00:00+02:00,2025-09-30T18:06:53+02:00,110222,NO1,37740.76,2025-09-16T14:00:00+02:00
